"RegionName","City","State","Metro","CountyName","SizeRank","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01"
"SBIC","Baltimore","MD","Baltimore","Baltimore City",613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1900,2100,2200,2100,2100,2000,1997.5,1975,1897.5,1900,1900,1900
"Old Naples","Naples","FL","Naples","Collier",614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4500,5000,5000,5000,4875,4500,4825,4825,5200,5000,5500,5500,5500
"Tarpon River","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2495,2225,2100,1800,2000,2100,2200,2300,2300,2300,2400,2421,2500
"Central Beach Alliance","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2100,2300,2100,2100,1987.5,1875,1900,2100,2100,2275,2300,2100,2200,2200
"Lake Ridge","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2247.5,2300,2300,2300,2297.5,2300,2300,2300,2300,2297.5,2225,2272.5,2200
"North Rosslyn","Arlington","VA","Washington","Arlington",618,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3300,3700,3200,3587.5,3500,3600,3500,3250,3150,2850,2500,2675
"Harbordale","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800,1750,1660,1520,1600,1600,1600,1690,1700,1700,1750,1750,1675,1600,1625,1775,1912.5,2000,1800,1749,1675,1625,1675,1800,1800,1700,1625,1625,1595,1595,1600,1650,1700,1500,1560,1600,1550,1637.5,1750,1625,1637.5,1637.5,1700,1625,1625,1800,1700,1750,1625,1775,1500,1500,1600,1737.5,1720,1650,1800,1825,1800,1850,1800,1750,1750,1800,1775,1850,1950,1850
"Dearborn Park","Chicago","IL","Chicago","Cook",620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1824.5,2100,1950,1799,1957,1955,2071,2095.5,1960,1957.5,2127,2234,2175,2180,2200,2200,2200,2200,2200,2200,2200,2200,2250,2270,2200,2200,2200,2252.5,2262.5,2255,2200,2175,2164,2153,2200,2252.5,2200,2200,2200,2250,2260,2260,2200,2200,2200,2225,2200,2260,2255,2200,2200,2200,2227.5,2200,2210,2200,2175,2260,2265,2262.5,2260,2200,2225,2200,2200,2200,2255
"Palm Club Village","West Palm Beach","FL","Miami-Fort Lauderdale","Palm Beach",621,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,1245,1150,1150,1200,1250,1295,1250,1250,1262.5,1300,1300,1300
"Midway","Henderson","NV","Las Vegas","Clark",622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1195,1200,1250,1265,1222.5,1200,1247.5,1235,1250,1280,1295,1295,1277.5
"Steele Creek","Charlotte","NC","Charlotte","Mecklenburg",623,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1495,1495,1495,1495,1495,1510,1510,1532.5,1549,1500,1500,1495,1495
"Galt Mile","Fort Lauderdale","FL","Miami-Fort Lauderdale","Broward",624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2475,2550,2500,2400,2400,2400,2500,2500,2800,2895,3150,3000,3397.5,3100
"Downtown","Sarasota","FL","North Port-Sarasota-Bradenton","Sarasota",625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2447.5,2450,2325,2000,2200,2250,2200,2397.5,2600,2725,2775,3100
"River West","Chicago","IL","Chicago","Cook",626,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2530,2530,2625,2647.5,2625,2250,2138,2250,2250,2340,2350,2075,2250,2150,2150,2250,2250,2250,2300,2400,2250,2370,2275,2250,2250,2225,2300,2275,2250,2200,2158.5,2250,2385,2250,2300,2250,2250,2250,2167,2250,2322.5,2385,2370,2208.5,2250,2250,2183.5,2250,2167,2250,2250,2200,2250,2322.5,2350,2370,2400,2450,2450,2400,2400,2385,2250,2400
